ID	name	raw	element	eleValue	elementTwo	eleValueTwo	affinity	sharpness	sharpOne	sharpTwo
306	Waxglare Wand Lv. 1	120	Poison	24	(No Element)	0	0	Blue	Blue	White
307	Waxglare Wand Lv. 2	130	Poison	26	(No Element)	0	0	Blue	Blue	White
308	Waxglare Wand Lv. 3	160	Poison	28	(No Element)	0	0	White	White	White
309	Balor's Mirage Lv. 4	170	Poison	30	(No Element)	0	0	White	White	White
310	Balor's Mirage Lv. 5	250	Poison	33	(No Element)	0	0	White	White	White
311	Zariella's Phantasm Lv. 6	280	Poison	35	(No Element)	0	0	White	Purple	Purple
312	Skeletal Axe Lv. 1	160	Dragon	10	(No Element)	0	-25	Yellow	Yellow	Yellow
313	Skeletal Axe Lv. 2	180	Dragon	12	(No Element)	0	-25	Yellow	Green	Green
314	Skeletal Axe Lv. 3	230	Dragon	13	(No Element)	0	-25	Green	Green	Green
315	Skeletal Axe Lv. 4	250	Dragon	14	(No Element)	0	-25	Green	Green	Green
316	Wicked Thorns Lv. 5	260	Dragon	16	(No Element)	0	-25	Green	Blue	Blue
317	Wicked Thorns Lv. 6	330	Dragon	18	(No Element)	0	-25	Green	Blue	White
318	Antares Axe Lv. 7	380	Dragon	20	(No Element)	0	-25	Green	White	White
319	Wycademy Axe Lv. 1	120	Blast	10	(No Element)	0	0	Green	Green	Green
320	Wycademy Axe Lv. 2	130	Blast	12	(No Element)	0	0	Green	Green	Blue
321	Wycademy Axe Lv. 3	170	Blast	13	(No Element)	0	0	Green	Green	Blue
322	Versa Veil Axe Lv. 4	200	Blast	15	(No Element)	0	0	Green	Blue	White
323	Versa Veil Axe Lv. 5	260	Blast	17	(No Element)	0	0	Green	Blue	White
324	Granversa Axe Lv. 6	330	Blast	20	(No Element)	0	0	Green	Blue	White
325	Infernal Axe Lv. 1	100	Dragon	12	(No Element)	0	0	Green	Green	Green
326	Infernal Axe Lv. 2	130	Dragon	14	(No Element)	0	0	Green	Green	Green
327	Infernal Axe Lv. 3	150	Dragon	16	(No Element)	0	0	Green	Blue	Blue
328	Hellish Edge Lv. 4	170	Dragon	18	(No Element)	0	0	Blue	Blue	White
329	Hellish Edge Lv. 5	240	Dragon	20	(No Element)	0	0	Blue	Blue	White
330	Hellish Edge Lv. 6	260	Dragon	22	(No Element)	0	0	White	White	White
331	Calamitous Axe Lv. 7	290	Dragon	25	(No Element)	0	0	White	White	Purple
332	Black Belt Axe Lv. 1	120	(No Element)	0	SA - Poison	14	0	Green	Green	Green
333	Black Belt Axe Lv. 2	130	(No Element)	0	SA - Poison	16	0	Green	Green	Green
334	Black Belt Axe Lv. 3	160	(No Element)	0	SA - Poison	18	0	Green	Green	Green
335	Shihan Axe Lv. 4	210	(No Element)	0	SA - Poison	20	0	Green	Green	Blue
336	Shihan Axe Lv. 5	260	(No Element)	0	SA - Poison	22	0	Blue	Blue	White
337	Grandmaster Axe Lv. 6	320	(No Element)	0	SA - Poison	25	0	Blue	White	White
338	Yukumo Pure Axe Lv. 1	130	(No Element)	0	SA - Dragon	20	0	Green	Green	Green
339	Yukumo Pure Axe Lv. 2	150	(No Element)	0	SA - Dragon	22	0	Green	Green	Blue
340	Yukumo Pure Axe Lv. 3	170	(No Element)	0	SA - Dragon	25	0	Blue	Blue	White
341	Yukumo Spirit Axe Lv. 4	220	(No Element)	0	SA - Dragon	28	0	Blue	Blue	White
342	Yukumo Spirit Axe Lv. 5	290	(No Element)	0	SA - Dragon	30	0	White	White	White
343	Yukumo Aura Axe Lv. 6	340	(No Element)	0	SA - Dragon	32	0	White	White	Purple
344	Black Axe Lv. 1	100	Dragon	7	(No Element)	0	0	Green	Green	Green
345	Black Axe Lv. 2	120	Dragon	8	(No Element)	0	0	Green	Green	Green
346	Black Axe Lv. 3	140	Dragon	10	(No Element)	0	0	Green	Green	Blue
347	Black Axe Lv. 4	180	Dragon	12	(No Element)	0	0	Green	Blue	White
348	Onyx Axe Lv. 5	210	Dragon	14	(No Element)	0	0	Green	Blue	White
349	Onyx Axe Lv. 6	320	Dragon	28	(No Element)	0	0	Blue	Blue	White
350	Fatalis's End Lv. 7	340	Dragon	30	(No Element)	0	0	Blue	Purple	Purple
351	General's Strongaxe Lv. 1	140	(No Element)	0	SA - Exhaust	25	0	Blue	Blue	White
352	General's Strongaxe Lv. 2	160	(No Element)	0	SA - Exhaust	28	0	Blue	Blue	White
353	Conqueress Lv. 3	180	(No Element)	0	SA - Exhaust	30	0	Blue	White	White
354	Conqueress Lv. 4	270	(No Element)	0	SA - Exhaust	32	0	White	Purple	Purple
355	Reconqueress Lv. 5	330	(No Element)	0	SA - Exhaust	35	0	White	Purple	Purple
356	Vavoom Axe Lv. 1	150	Water	18	(No Element)	0	0	Green	Green	Blue
357	Vavoom Axe Lv. 2	170	Water	20	(No Element)	0	0	Green	Green	Blue
358	Vavoom Axe Lv. 3	190	Water	22	(No Element)	0	0	Green	Blue	Blue
359	Vavoom Verdict Lv. 4	220	Water	24	(No Element)	0	0	Green	Blue	Blue
360	Vavoom Verdict Lv. 5	250	Water	26	(No Element)	0	0	Blue	Blue	White
361	Vavoom Verdict Lv. 6	280	Water	28	(No Element)	0	0	Blue	White	White
362	Vavoom Victory Lv. 7	340	Water	30	(No Element)	0	0	White	White	White
363	Notched Doom Lv. 1	170	Ice	12	(No Element)	0	-15	Green	Green	Blue
364	Notched Doom Lv. 2	180	Ice	14	(No Element)	0	-15	Green	Green	Blue
365	Notched Doom Lv. 3	200	Ice	16	(No Element)	0	-15	Green	Blue	Blue
366	Notched Legion Lv. 4	230	Ice	18	(No Element)	0	-15	Blue	White	White
367	Notched Legion Lv. 5	290	Ice	20	(No Element)	0	-15	Blue	White	White
368	Notched Rout Lv. 6	350	Ice	22	(No Element)	0	-15	Blue	White	White
369	Worn Switch Axe Lv. 1	110	(No Element)	0	SA - Dragon	10	-70	Orange	Orange	Orange
370	Worn Switch Axe Lv. 2	110	(No Element)	0	SA - Dragon	15	-70	Orange	Orange	Orange
371	Worn Switch Axe Lv. 3	110	(No Element)	0	SA - Dragon	20	-70	Yellow	Yellow	Yellow
372	Worn Switch Axe Lv. 4	110	(No Element)	0	SA - Dragon	25	-70	Yellow	Yellow	Yellow
373	Weathered Switch Axe Lv. 5	270	(No Element)	0	SA - Dragon	40	-70	Yellow	Blue	Blue
374	Weathered Switch Axe Lv. 6	300	(No Element)	0	SA - Dragon	42	-70	Yellow	Green	Blue
375	Aged Switch Axe Lv. 7	380	(No Element)	0	SA - Dragon	45	-70	Yellow	Blue	White
376	Beak Axe Lv. 1	150	Fire	18	(No Element)	0	5	Blue	Blue	White
377	Beak Axe Lv. 2	170	Fire	20	(No Element)	0	5	Blue	Blue	White
378	Sawbill Axe Lv. 3	200	Fire	22	(No Element)	0	5	Blue	Blue	White
379	Sawbill Axe Lv. 4	230	Fire	25	(No Element)	0	5	Blue	White	White
380	Beakutkaxe Lv. 5	260	Fire	27	(No Element)	0	5	White	White	White
381	Terror Bird Axe Lv. 6	300	Fire	30	(No Element)	0	10	White	White	Purple
382	Assault Axe Lv. 1	160	(No Element)	0	SA - Para	8	-10	Green	Green	Blue
383	Assault Axe Lv. 2	190	(No Element)	0	SA - Para	10	-10	Green	Blue	Blue
384	Blitzkrieg Lv. 3	210	(No Element)	0	SA - Para	12	-10	Green	Blue	Blue
385	Blitzkrieg Lv. 4	280	(No Element)	0	SA - Para	14	-15	Blue	Blue	White
386	Blitzkrieg Lv. 5	310	(No Element)	0	SA - Para	16	-15	Blue	White	White
387	Bastion Blitz Lv. 6	350	(No Element)	0	SA - Para	18	-15	Blue	White	White
388	Vavoom Vengeance Lv. 1	170	Water	36	(No Element)	0	0	Blue	Blue	White
389	Vavoom Vengeance Lv. 2	180	Water	38	(No Element)	0	0	Blue	Blue	White
390	Vavoom Vindication Lv. 3	190	Water	40	(No Element)	0	0	Blue	Blue	White
391	Vavoom Vindication Lv. 4	250	Water	42	(No Element)	0	0	White	White	Purple
392	Weird Wacha Nakha Lv. 5	300	Water	45	(No Element)	0	0	White	Purple	Purple
393	Notched Tyrant Lv. 1	180	Ice	30	(No Element)	0	-10	Blue	Blue	Blue
394	Notched Tyrant Lv. 2	190	Ice	32	(No Element)	0	-10	Blue	Blue	Blue
395	Notched Oppressor Lv. 3	200	Ice	34	(No Element)	0	-10	Blue	Blue	White
396	Notched Oppressor Lv. 4	260	Ice	36	(No Element)	0	-10	White	White	White
397	Notched Ice Autarch Lv. 5	310	Ice	38	(No Element)	0	-10	White	Purple	Purple
398	Finslash Lv. 1	160	Sleep	18	(No Element)	0	0	Green	Green	Green
399	Finslash Lv. 2	170	Sleep	20	(No Element)	0	0	Green	Blue	Blue
400	Mega Rhipidon Lv. 3	190	Sleep	22	(No Element)	0	0	Blue	White	White
401	Mega Rhipidon Lv. 4	240	Sleep	24	(No Element)	0	0	Blue	White	White
402	Mega Rhipidon Lv. 5	270	Sleep	26	(No Element)	0	0	Blue	White	White
403	Cascade Rhipidon Lv. 6	310	Sleep	28	(No Element)	0	0	White	White	Purple
404	Flicker Axe Lv. 1	170	(No Element)	0	SA - Para	24	0	Blue	Blue	Blue
405	Flicker Axe Lv. 2	180	(No Element)	0	SA - Para	26	0	Blue	Blue	White
406	Paraflick Axe Lv. 3	190	(No Element)	0	SA - Para	28	0	Blue	White	White
407	Paraflick Axe Lv. 4	240	(No Element)	0	SA - Para	31	0	White	White	White
408	Paracrux Axe Lv. 5	290	(No Element)	0	SA - Para	33	0	White	Purple	Purple
409	Golba Bandar Lv. 1	150	(No Element)	0	(No Element)	0	0	Green	Green	Green
410	Golba Bandar Lv. 2	170	(No Element)	0	(No Element)	0	0	Green	Blue	Blue
411	Gunda Bandandar Lv. 3	200	(No Element)	0	(No Element)	0	0	Blue	Blue	White
412	Gunda Bandandar Lv. 4	260	(No Element)	0	(No Element)	0	0	Blue	White	White
413	Gunda Bandandar Lv. 5	290	(No Element)	0	(No Element)	0	0	Blue	White	White
414	Gundar Sangram Lv. 6	320	(No Element)	0	(No Element)	0	0	White	Purple	Purple
415	Amber Slash Lv. 1	160	Ice	32	(No Element)	0	10	Blue	Blue	White
416	Amber Hoarfrost Lv. 2	180	Ice	35	(No Element)	0	10	Blue	Blue	White
417	Amber Hoarfrost Lv. 3	260	Ice	38	(No Element)	0	10	White	White	White
418	Amber Permafrost Lv. 4	290	Ice	40	(No Element)	0	10	Purple	Purple	Purple
419	Volt Axe Lv. 1	160	Thunder	30	(No Element)	0	5	Blue	Blue	White
420	Volt Axe Lv. 2	170	Thunder	32	(No Element)	0	5	Blue	Blue	White
421	Megavolt Axe Lv. 3	190	Thunder	35	(No Element)	0	5	Blue	Blue	White
422	Megavolt Axe Lv. 4	260	Thunder	37	(No Element)	0	5	White	White	Purple
423	Megavolt Axe Lv. 5	280	Thunder	39	(No Element)	0	5	White	White	Purple
424	Gigavolt Axe Lv. 6	300	Thunder	41	(No Element)	0	5	White	Purple	Purple
425	Fire Tempest Lv. 1	160	Fire	22	(No Element)	0	15	Blue	Blue	White
426	Fire Tempest Lv. 2	170	Fire	24	(No Element)	0	15	Blue	Blue	White
427	Flame Tempest Lv. 3	180	Fire	26	(No Element)	0	15	Blue	Blue	White
428	Flame Tempest Lv. 4	250	Fire	28	(No Element)	0	15	Blue	Blue	White
429	Flame Tempest Lv. 5	270	Fire	30	(No Element)	0	20	White	White	White
430	Helstrong Firebath Lv. 6	280	Fire	32	(No Element)	0	20	White	Purple	Purple
431	Seditious Axe Lv. 1	160	(No Element)	0	(No Element)	0	20	White	White	White
432	Seditious Axe Lv. 2	170	(No Element)	0	(No Element)	0	20	White	White	White
433	Baraq Sedition Lv. 3	180	(No Element)	0	(No Element)	0	20	White	White	White
434	Baraq Sedition Lv. 4	230	(No Element)	0	(No Element)	0	20	White	White	White
435	Baraq Sedition Lv. 5	250	(No Element)	0	(No Element)	0	20	Purple	Purple	Purple
436	Sedition Splitter Lv. 6	280	(No Element)	0	(No Element)	0	20	Purple	Purple	Purple
437	Heavy Divider Lv. 1	190	(No Element)	0	SA - Exhaust	36	0	Blue	Blue	White
438	Heavy Divider Lv. 2	200	(No Element)	0	SA - Exhaust	38	0	Blue	Blue	White
439	Grunhart Lv. 3	220	(No Element)	0	SA - Exhaust	40	0	Blue	White	White
440	Grunhart Lv. 4	310	(No Element)	0	SA - Exhaust	42	0	White	White	White
441	Grunfest Lv. 5	340	(No Element)	0	SA - Exhaust	45	0	White	White	Purple
442	Demolition Axe Lv. 1	170	Blast	30	(No Element)	0	0	Blue	Blue	White
443	Demolition Axe Lv. 2	180	Blast	32	(No Element)	0	0	Blue	Blue	White
444	Brisant Demolisher Lv. 3	190	Blast	34	(No Element)	0	0	Blue	Blue	White
445	Brisant Demolisher Lv. 4	260	Blast	36	(No Element)	0	0	White	White	White
446	Brisant Demolisher Lv. 5	280	Blast	38	(No Element)	0	0	White	White	Purple
447	Brisant Annihilator Lv. 6	300	Blast	40	(No Element)	0	0	White	Purple	Purple
448	Undying Axe Lv. 1	160	Thunder	27	(No Element)	0	15	Green	Green	Green
449	Undying Axe Lv. 2	170	Thunder	28	(No Element)	0	15	Green	Green	Blue
450	Undying Axe Lv. 3	190	Thunder	30	(No Element)	0	15	Green	Blue	Blue
451	Undying Light Lv. 4	200	Thunder	32	(No Element)	0	15	Blue	White	White
452	Undying Light Lv. 5	280	Thunder	33	(No Element)	0	15	White	White	White
453	Undying Purity Lv. 6	310	Thunder	35	(No Element)	0	15	White	White	White
454	Tyrannos Lv. 1	190	(No Element)	0	SA - Dragon	5	-5	Green	Blue	Blue
455	Tyrannos Lv. 2	210	(No Element)	0	SA - Dragon	6	-5	Green	Blue	Blue
456	Terror Tyrannos Lv. 3	230	(No Element)	0	SA - Dragon	8	-5	Green	Blue	Blue
457	Terror Tyrannos Lv. 4	310	(No Element)	0	SA - Dragon	10	-5	White	White	White
458	Nero's Tyrannos Lv. 5	340	(No Element)	0	SA - Dragon	12	-5	White	White	Purple
459	Mundus Altus Lv. 1	110	Dragon	50	(No Element)	0	0	Blue	White	White
460	Mundus Altus Lv. 2	120	Dragon	55	(No Element)	0	0	Blue	White	White
461	Mundus Regius Lv. 3	130	Dragon	60	(No Element)	0	0	Blue	White	White
462	Mundus Regius Lv. 4	190	Dragon	62	(No Element)	0	0	White	White	White
463	Mundus Divinus Lv. 5	270	Dragon	65	(No Element)	0	0	White	White	White
464	Axe Semper Tyrannis Lv. 1	210	(No Element)	0	SA - Exhaust	8	-10	Green	Blue	Blue
465	Grand Chaos Lv. 2	240	(No Element)	0	SA - Exhaust	10	-10	Blue	Blue	White
466	Grand Chaos Lv. 3	300	(No Element)	0	SA - Exhaust	13	-10	Blue	White	White
467	Grand Chaos Lv. 4	320	(No Element)	0	SA - Exhaust	15	-10	Blue	White	White
468	Axe of Gaia Lv. 5	350	(No Element)	0	SA - Exhaust	17	-10	White	Purple	Purple
469	Research Axe Lv. 1	180	(No Element)	0	SA - Dragon	15	15	Blue	Blue	White
470	Discovery Axe Lv. 2	200	(No Element)	0	SA - Dragon	17	15	White	White	White
471	Discovery Axe Lv. 3	230	(No Element)	0	SA - Dragon	20	20	White	White	Purple
472	Discovery Axe Lv. 4	280	(No Element)	0	SA - Dragon	23	20	Purple	Purple	Purple
473	Authority Shears Lv. 5	300	(No Element)	0	SA - Dragon	25	25	Purple	Purple	Purple
474	Switch Fox Lv. 1	150	Ice	8	(No Element)	0	0	Blue	Blue	White
475	Switch Fox Lv. 2	170	Ice	10	(No Element)	0	0	Blue	White	White
476	Special Corps Axe Lv. 3	180	Ice	11	(No Element)	0	0	Blue	White	White
477	Special Corps Axe Lv. 4	240	Ice	13	(No Element)	0	0	White	White	White
478	Shapeshifter Lv. 5	300	Ice	15	(No Element)	0	0	White	White	White
479	Raikou Works Lv. 1	160	Thunder	20	(No Element)	0	0	Blue	Blue	White
480	Raikou Works Lv. 2	180	Thunder	22	(No Element)	0	0	Blue	White	White
481	Raiden Works Lv. 3	190	Thunder	24	(No Element)	0	0	Blue	White	White
482	Raiden Works Lv. 4	280	Thunder	26	(No Element)	0	0	White	White	White
483	Dengeki Axe Lv. 5	310	Thunder	28	(No Element)	0	0	White	White	White
484	Pirate Axe J Lv. 1	160	(No Element)	0	(No Element)	0	0	Blue	Blue	White
485	Pirate Axe J Lv. 2	180	(No Element)	0	(No Element)	0	0	Blue	White	White
486	Buccaneer Axe J Lv. 3	200	(No Element)	0	(No Element)	0	0	Blue	White	White
487	Buccaneer Axe J Lv. 4	290	(No Element)	0	(No Element)	0	0	White	White	White
488	Pirate King Axe J Lv. 5	320	(No Element)	0	(No Element)	0	0	White	White	White
489	Red Tomahawk Lv. 1	140	Para	24	(No Element)	0	10	Green	Blue	White
490	Crimson Tomahawk Lv. 2	150	Para	25	(No Element)	0	10	Green	Blue	White
491	Crimson Tomahawk Lv. 3	200	Para	28	(No Element)	0	15	Blue	Blue	White
492	Purgatory Tomahawk Lv. 4	260	Para	30	(No Element)	0	15	Blue	Purple	Purple
493	Teostra's Arx Lv. 1	150	Blast	36	(No Element)	0	0	Blue	Blue	White
494	Teostra's Arx Lv. 2	160	Blast	38	(No Element)	0	0	Blue	Blue	White
495	Teostra's Castle Lv. 3	170	Blast	40	(No Element)	0	0	Blue	White	White
496	Teostra's Castle Lv. 4	250	Blast	42	(No Element)	0	0	White	White	Purple
497	Teostra's Hellebarde Lv. 5	280	Blast	44	(No Element)	0	0	White	Purple	Purple
498	Rathsplicer Lv. 1	170	Fire	32	(No Element)	0	5	Blue	Blue	White
499	Rathsplicer Lv. 2	180	Fire	34	(No Element)	0	5	Blue	Blue	White
500	Rathlagration Lv. 3	190	Fire	35	(No Element)	0	5	Blue	Blue	White
501	Rathlagration Lv. 4	270	Fire	38	(No Element)	0	10	White	White	White
502	Rathscension Lv. 5	290	Fire	40	(No Element)	0	10	White	Purple	Purple
503	Golden Crescent Lv. 1	200	Poison	10	(No Element)	0	0	Blue	Blue	White
504	Golden Crescent Lv. 2	210	Poison	12	(No Element)	0	0	Blue	Blue	White
505	Lune Shredder Lv. 3	220	Poison	14	(No Element)	0	0	Blue	Blue	White
506	Lune Shredder Lv. 4	310	Poison	17	(No Element)	0	0	White	White	White
507	Harvest Moon Lv. 5	320	Poison	20	(No Element)	0	0	White	Purple	Purple
508	Demonlord Axe Lv. 1	160	Thunder	16	(No Element)	0	20	Blue	Blue	White
509	Demonlord Axe Lv. 2	170	Thunder	18	(No Element)	0	25	Blue	Blue	White
510	Demonlord Edge Lv. 3	180	Thunder	20	(No Element)	0	30	Blue	White	White
511	Demonlord Edge Lv. 4	260	Thunder	22	(No Element)	0	30	Blue	White	White
512	Demonlord Earthshaker Lv. 5	300	Thunder	23	(No Element)	0	30	Blue	White	Purple
513	Saligia Vileaxe Lv. 1	190	(No Element)	0	SA - Dragon	10	-20	Blue	Blue	Blue
514	Saligia Vileaxe Lv. 2	200	(No Element)	0	SA - Dragon	12	-20	Blue	Blue	White
515	Saligia Enderaxe Lv. 3	210	(No Element)	0	SA - Dragon	14	-20	Blue	White	White
516	Saligia Enderaxe Lv. 4	290	(No Element)	0	SA - Dragon	16	-20	Blue	White	White
517	Doomaxe 'Downpour' Lv. 5	310	(No Element)	0	SA - Dragon	18	-20	Blue	White	Purple
518	Akantor Switch Axe Lv. 1	250	(No Element)	0	SA - Dragon	12	30	Green	Green	Green
519	Akantor Switch Axe Lv. 2	250	(No Element)	0	SA - Dragon	14	30	Green	Green	Green
520	Akantor Divider Lv. 3	250	(No Element)	0	SA - Dragon	15	35	Green	Green	Green
521	Akantor Divider Lv. 4	320	(No Element)	0	SA - Dragon	18	35	Green	Green	Blue
522	Akantor Fissure Lv. 5	370	(No Element)	0	SA - Dragon	20	35	Green	Blue	Blue
523	Murkham Axe Lv. 1	250	Ice	12	(No Element)	0	-25	Green	Green	Green
524	Murkham Axe Lv. 2	250	Ice	14	(No Element)	0	-25	Green	Green	Blue
525	Muronkham Axe Lv. 3	250	Ice	15	(No Element)	0	-20	Green	Green	Blue
526	Muronkham Axe Lv. 4	330	Ice	17	(No Element)	0	-20	Blue	Blue	Blue
527	Murkamunomi Axe Lv. 5	360	Ice	18	(No Element)	0	-20	Blue	Blue	White
528	Cloudburst Axe Lv. 1	200	Water	10	(No Element)	0	-20	Blue	Blue	Blue
529	Cloudburst Axe Lv. 2	220	Water	11	(No Element)	0	-20	Blue	Blue	Blue
530	Heavenly Rain Lv. 3	240	Water	12	(No Element)	0	-20	Blue	Blue	White
531	Heavenly Rain Lv. 4	320	Water	14	(No Element)	0	-20	White	White	White
532	Celestial Axe Lv. 5	360	Water	16	(No Element)	0	-20	White	White	White
533	Polaris Skalvia Lv. 1	170	Dragon	6	(No Element)	0	0	Blue	Blue	Blue
534	Polaris Skalvia Lv. 2	180	Dragon	8	(No Element)	0	0	Blue	Blue	White
535	Cosmic Skalve Lv. 3	190	Dragon	10	(No Element)	0	0	White	White	White
536	Cosmic Skalve Lv. 4	280	Dragon	12	(No Element)	0	0	White	White	White
537	Starfire Skalve Lv. 5	310	Dragon	13	(No Element)	0	0	Purple	Purple	Purple
538	Dark Switch Axe Lv. 1	180	Dragon	28	(No Element)	0	0	Blue	White	White
539	Dark Switch Axe Lv. 2	180	Dragon	30	(No Element)	0	0	White	White	White
540	Black Harvest Lv. 3	180	Dragon	32	(No Element)	0	0	White	White	White
541	Black Harvest Lv. 4	260	Dragon	34	(No Element)	0	0	Purple	Purple	Purple
542	Altheos Voracion Lv. 5	280	Dragon	36	(No Element)	0	0	Purple	Purple	Purple
543	Silverwing Axe Lv. 1	160	Dragon	38	(No Element)	0	0	White	White	White
544	Dragonstar Dunat Lv. 2	180	Dragon	40	(No Element)	0	0	White	White	White
545	Dragonstar Dunat Lv. 3	240	Dragon	42	(No Element)	0	0	White	White	White
546	Dragonstar Dunat Lv. 4	270	Dragon	44	(No Element)	0	0	White	White	White
547	Dragonstar Dunat Lv. 5	280	Dragon	46	(No Element)	0	0	White	White	White
548	Magnastar Batis Lv. 6	300	Dragon	48	(No Element)	0	0	White	White	White
549	Elder Axe Lv. 1	250	(No Element)	0	(No Element)	0	0	White	White	White
550	Sage Axe Lv. 2	270	(No Element)	0	(No Element)	0	0	White	White	White
551	Philosopher Axe Lv. 3	310	(No Element)	0	(No Element)	0	0	White	White	White
552	Gorgonzola Axe Lv. 1	200	Para	3	(No Element)	0	0	Purple	Purple	Purple
553	Aged Gorgonzola Axe Lv. 2	230	Para	4	(No Element)	0	0	Purple	Purple	Purple
554	Gorgonzola Piccante Lv. 3	280	Para	5	(No Element)	0	0	Purple	Purple	Purple
555	Galefrost Lv. 1	290	Ice	15	(No Element)	0	20	Blue	White	White
556	Giga Galefrost Lv. 2	310	Ice	17	(No Element)	0	20	White	White	White
557	Amberfang Lv. 3	320	Ice	20	(No Element)	0	20	White	White	White
558	Inceadeus Lv. 1	310	Water	15	(No Element)	0	0	Blue	White	White
559	Great Inceadeus Lv. 2	320	Water	17	(No Element)	0	0	White	Purple	Purple
560	Ceadeed Axe Lv. 3	330	Water	18	(No Element)	0	0	White	Purple	Purple
561	Korper/Esprit Lv. 1	280	Dragon	20	(No Element)	0	-30/15	White	White	White
562	Fleisch/Ame Lv. 2	290	Dragon	21	(No Element)	0	-30/15	White	White	White
563	Frevel/Sursis Lv. 3	300	Dragon	22	(No Element)	0	-30/15	White	White	Purple
564	Lightbreak Axe Lv. 1	250	Blast	42	(No Element)	0	0	White	White	White
565	Lightbreak Intent Lv. 2	270	Blast	43	(No Element)	0	0	White	White	Purple
566	Lightbreak Target Lv. 3	290	Blast	45	(No Element)	0	0	White	Purple	Purple
567	Dragon Ripper Lv. 1	260	Dragon	45	(No Element)	0	0	White	White	White
568	Dragonfire Axe Lv. 2	280	Dragon	47	(No Element)	0	0	White	White	Purple
569	Dragon Eater Lv. 3	300	Dragon	50	(No Element)	0	0	White	Purple	Purple
570	Goldaxe Lv. 1	310	(No Element)	0	(No Element)	0	0	Purple	Purple	Purple
571	Inscribed Astarte Lv. 2	320	(No Element)	0	(No Element)	0	0	Purple	Purple	Purple
572	Anat Karnaim Lv. 3	330	(No Element)	0	(No Element)	0	0	Purple	Purple	Purple
573	Ruiner's Bane Lv. 1	230	Blast	42	(No Element)	0	20	Blue	White	White
574	True Ruiner's Bane Lv. 2	240	Blast	45	(No Element)	0	25	White	White	White
575	Absolute Ruiner's Bane Lv. 3	250	Blast	50	(No Element)	0	30	White	Purple	Purple
576	Fatalis Force Lv. 1	270	Thunder	44	(No Element)	0	0	White	White	White
577	Fatalis Finesse Lv. 2	290	Thunder	48	(No Element)	0	0	White	White	White
578	Fatalis Feint Lv. 3	300	Thunder	52	(No Element)	0	0	White	Purple	Purple
579	Crimson Axe Lv. 1	110	(No Element)	0	SA - Poison	22	5	Green	Green	Green
580	Crimson Axe Lv. 2	120	(No Element)	0	SA - Poison	23	5	Green	Green	Green
581	Crimson Axe Lv. 3	130	(No Element)	0	SA - Poison	24	5	Green	Green	Blue
582	Crimson Axe Lv. 4	150	(No Element)	0	SA - Poison	25	10	Green	Blue	Blue
583	Crimson Axe Lv. 5	160	(No Element)	0	SA - Poison	26	10	Green	Blue	Blue
584	Crimson Axe Lv. 6	170	(No Element)	0	SA - Poison	27	10	Blue	Blue	Blue
585	Crimson Axe Lv. 7	180	(No Element)	0	SA - Poison	28	10	Blue	Blue	White
586	Crimson Axe Lv. 8	190	(No Element)	0	SA - Poison	30	10	Blue	Blue	White
587	Crimson Axe Lv. 9	200	(No Element)	0	SA - Poison	31	10	Blue	White	White
588	Redhelm Axe Lv. 10	210	(No Element)	0	SA - Poison	33	10	Blue	White	White
589	Redhelm Axe Lv. 11	240	(No Element)	0	SA - Poison	35	10	Blue	White	White
590	Redhelm Axe Lv. 12	260	(No Element)	0	SA - Poison	36	10	Blue	White	White
591	Redhelm Axe Lv. 13	300	(No Element)	0	SA - Poison	37	10	Blue	White	White
592	Redhelm Axe Lv. 14	320	(No Element)	0	SA - Poison	38	10	Blue	White	Purple
593	Red Cloudscraper Axe Lv. 15	350	(No Element)	0	SA - Poison	39	10	Blue	White	Purple
594	Blackhare Axe Lv. 1	100	Ice	10	(No Element)	0	5	Green	Green	Green
595	Blackhare Axe Lv. 2	110	Ice	11	(No Element)	0	5	Green	Green	Green
596	Blackhare Axe Lv. 3	130	Ice	12	(No Element)	0	5	Green	Green	Green
597	Blackhare Axe Lv. 4	140	Ice	13	(No Element)	0	10	Green	Green	Blue
598	Blackhare Axe Lv. 5	150	Ice	14	(No Element)	0	10	Green	Blue	Blue
599	Blackhare Axe Lv. 6	160	Ice	15	(No Element)	0	10	Blue	Blue	White
600	Blackhare Axe Lv. 7	170	Ice	16	(No Element)	0	10	Blue	White	White
601	Blackhare Axe Lv. 8	180	Ice	17	(No Element)	0	10	Blue	White	White
602	Blackhare Axe Lv. 9	190	Ice	18	(No Element)	0	10	Blue	White	White
603	Snowbaron Axe Lv. 10	200	Ice	20	(No Element)	0	10	Blue	White	White
604	Snowbaron Axe Lv. 11	220	Ice	22	(No Element)	0	15	Blue	White	White
605	Snowbaron Axe Lv. 12	240	Ice	24	(No Element)	0	15	Blue	White	White
606	Snowbaron Axe Lv. 13	260	Ice	26	(No Element)	0	15	White	White	White
607	Snowbaron Axe Lv. 14	280	Ice	28	(No Element)	0	15	White	White	White
608	Snowbaron Aurispada Lv. 15	300	Ice	30	(No Element)	0	15	White	Purple	Purple
609	Pincher Axe Lv. 1	100	Water	10	(No Element)	0	5	Green	Green	Green
610	Pincher Axe Lv. 2	110	Water	11	(No Element)	0	5	Green	Green	Blue
611	Pincher Axe Lv. 3	120	Water	12	(No Element)	0	5	Green	Green	Blue
612	Pincher Axe Lv. 4	130	Water	13	(No Element)	0	10	Green	Blue	Blue
