ID	name	raw	affinity
653	Lord's Roar Lv. 11	250	20
654	Lord's Roar Lv. 12	270	20
655	Lord's Roar Lv. 13	290	20
656	Lord's Roar Lv. 14	310	20
657	Lord's Bellow Lv. 15	330	20
658	Rudra's Howl Lv. 1	180	-20
659	Rudra's Howl Lv. 2	180	-10
660	Rudra's Howl Lv. 3	190	-20
661	Rudra's Howl Lv. 4	190	-10
662	Rudra's Howl Lv. 5	200	-20
663	Rudra's Howl Lv. 6	200	-10
664	Rudra's Howl Lv. 7	210	-20
665	Rudra's Howl Lv. 8	210	-10
666	Rudra's Howl Lv. 9	220	-20
667	Grimclaw Cannon Lv. 10	220	-10
668	Grimclaw Cannon Lv. 11	250	-10
669	Grimclaw Cannon Lv. 12	270	-10
670	Grimclaw Cannon Lv. 13	290	-10
671	Grimclaw Cannon Lv. 14	310	-10
672	Grimclaw Howl Lv. 15	330	-10
673	Ashen Blaster Lv. 1	180	0
674	Ashen Blaster Lv. 2	190	0
675	Ashen Blaster Lv. 3	200	0
676	Ashen Blaster Lv. 4	200	0
677	Ashen Blaster Lv. 5	210	0
678	Ashen Blaster Lv. 6	210	0
679	Ashen Blaster Lv. 7	220	0
680	Ashen Blaster Lv. 8	220	0
681	Ashen Blaster Lv. 9	230	0
682	Ashen Eclipse Lv. 10	230	0
683	Ashen Eclipse Lv. 11	260	0
684	Ashen Eclipse Lv. 12	280	0
685	Ashen Eclipse Lv. 13	300	0
686	Ashen Eclipse Lv. 14	320	0
687	Ashen Sky Nova Lv. 15	340	0
688	Cloaked Horror Lv. 1	260	0
689	Cloaked Horror Lv. 2	270	0
690	Cloaked Nightmare Lv. 3	290	0
691	Cloaked Nightmare Lv. 4	300	0
692	Cloaked Night Terror Lv. 5	330	0
693	Razor Piercer Lv. 1	270	10
694	Razor Piercer Lv. 2	280	10
695	Daredevil Piercer Lv. 3	300	10
696	Daredevil Piercer Lv. 4	310	10
697	Rustrazor Piercer Lv. 5	330	10
698	Bitter Breeze Lv. 1	270	0
699	Bitter Breeze Lv. 2	280	0
700	Priestess in Red Lv. 3	290	0
701	Priestess in Red Lv. 4	310	0
702	A Marriage Divine Lv. 5	320	0
703	Boltreaver Cannon Lv. 1	260	20
704	Boltreaver Cannon Lv. 2	270	20
705	Boltreaver Blaster Lv. 3	280	20
706	Boltreaver Blaster Lv. 4	290	20
707	Boltreaver Assault Lv. 5	310	20
708	Elderfrost Boom Lv. 1	310	0
709	Elderfrost Boom Lv. 2	320	0
710	Elderfrost Kaboom Lv. 3	330	0
711	Elderfrost Kaboom Lv. 4	340	0
712	Elderfrost Kablast Lv. 5	350	0
713	Massacre Cannon Lv. 1	320	-20
714	Massacre Cannon Lv. 2	330	-20
715	Massacre Blaster Lv. 3	340	-20
716	Massacre Blaster Lv. 4	350	-20
717	Ivanus Lv. 5	360	-20
